seed,arm,training_status,evaluation_statuses,valid
401,AA,PASS,"['PASS', 'PASS', 'PASS']",True
401,DA,PASS,"['PASS', 'PASS', 'PASS']",True
401,A_startup_down5,PASS,"['PASS', 'PASS', 'PASS']",True
401,D_startup_up5,PASS,"['PASS', 'PASS', 'PASS']",True
402,AA,PASS,"['PASS', 'PASS', 'PASS']",True
402,DA,PASS,"['PASS', 'PASS', 'PASS']",True
402,A_startup_down5,PASS,"['PASS', 'PASS', 'PASS']",True
402,D_startup_up5,PASS,"['PASS', 'PASS', 'PASS']",True
403,AA,PASS,"['PASS', 'PASS', 'PASS']",True
403,DA,PASS,"['PASS', 'PASS', 'PASS']",True
403,A_startup_down5,PASS,"['PASS', 'PASS', 'PASS']",True
403,D_startup_up5,PASS,"['PASS', 'PASS', 'PASS']",True
404,AA,PASS,"['PASS', 'PASS', 'PASS']",True
404,DA,PASS,"['PASS', 'PASS', 'PASS']",True
404,A_startup_down5,PASS,"['PASS', 'PASS', 'PASS']",True
404,D_startup_up5,PASS,"['PASS', 'PASS', 'PASS']",True
405,AA,PASS,"['PASS', 'PASS', 'PASS']",True
405,DA,PASS,"['PASS', 'PASS', 'PASS']",True
405,A_startup_down5,PASS,"['PASS', 'PASS', 'PASS']",True
405,D_startup_up5,PASS,"['PASS', 'PASS', 'PASS']",True
406,AA,PASS,"['PASS', 'PASS', 'PASS']",True
406,DA,PASS,"['PASS', 'PASS', 'PASS']",True
406,A_startup_down5,PASS,"['PASS', 'PASS', 'PASS']",True
406,D_startup_up5,PASS,"['PASS', 'PASS', 'PASS']",True
407,AA,PASS,"['PASS', 'PASS', 'PASS']",True
407,DA,PASS,"['PASS', 'PASS', 'PASS']",True
407,A_startup_down5,PASS,"['PASS', 'PASS', 'PASS']",True
407,D_startup_up5,PASS,"['PASS', 'PASS', 'PASS']",True
408,AA,PASS,"['PASS', 'PASS', 'PASS']",True
408,DA,PASS,"['PASS', 'PASS', 'PASS']",True
408,A_startup_down5,PASS,"['PASS', 'PASS', 'PASS']",True
408,D_startup_up5,PASS,"['PASS', 'PASS', 'PASS']",True
409,AA,PASS,"['PASS', 'PASS', 'PASS']",True
409,DA,PASS,"['PASS', 'PASS', 'PASS']",True
409,A_startup_down5,PASS,"['PASS', 'PASS', 'PASS']",True
409,D_startup_up5,PASS,"['PASS', 'PASS', 'PASS']",True
410,AA,PASS,"['PASS', 'PASS', 'PASS']",True
410,DA,PASS,"['PASS', 'PASS', 'PASS']",True
410,A_startup_down5,PASS,"['PASS', 'PASS', 'PASS']",True
410,D_startup_up5,PASS,"['PASS', 'PASS', 'PASS']",True
411,AA,PASS,"['PASS', 'PASS', 'PASS']",True
411,DA,PASS,"['PASS', 'PASS', 'PASS']",True
411,A_startup_down5,PASS,"['PASS', 'PASS', 'PASS']",True
411,D_startup_up5,PASS,"['PASS', 'PASS', 'PASS']",True
412,AA,PASS,"['PASS', 'PASS', 'PASS']",True
412,DA,PASS,"['PASS', 'PASS', 'PASS']",True
412,A_startup_down5,PASS,"['PASS', 'PASS', 'PASS']",True
412,D_startup_up5,PASS,"['PASS', 'PASS', 'PASS']",True
