seed,horizon,space,block,contrast_formula,contrast_of_l2_norms,quantity_definition,exploratory_only,claim_ceiling
3,0,observable,feature,norm_C_minus_norm_A,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,observable,feature,norm_B_minus_norm_D,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,observable,feature,norm_D_minus_norm_A,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,observable,feature,norm_B_minus_norm_C,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,observable,feature,norm_B_minus_norm_C_minus_norm_D_plus_norm_A,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,observable,residual,norm_C_minus_norm_A,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,observable,residual,norm_B_minus_norm_D,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,observable,residual,norm_D_minus_norm_A,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,observable,residual,norm_B_minus_norm_C,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,observable,residual,norm_B_minus_norm_C_minus_norm_D_plus_norm_A,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,EMA,norm_C_minus_norm_A,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,EMA,norm_B_minus_norm_D,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,EMA,norm_D_minus_norm_A,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,EMA,norm_B_minus_norm_C,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,EMA,norm_B_minus_norm_C_minus_norm_D_plus_norm_A,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,m,norm_C_minus_norm_A,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,m,norm_B_minus_norm_D,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,m,norm_D_minus_norm_A,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,m,norm_B_minus_norm_C,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,m,norm_B_minus_norm_C_minus_norm_D_plus_norm_A,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,net_buffer,norm_C_minus_norm_A,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,net_buffer,norm_B_minus_norm_D,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,net_buffer,norm_D_minus_norm_A,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,net_buffer,norm_B_minus_norm_C,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,net_buffer,norm_B_minus_norm_C_minus_norm_D_plus_norm_A,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,scaler,norm_C_minus_norm_A,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,scaler,norm_B_minus_norm_D,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,scaler,norm_D_minus_norm_A,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
3,0,state,scaler,norm_B_minus_norm_C,0.0,linear contrast of branch-specific absolute value_norm,True,descriptive absolute-norm contrast; not a target or denominator effect
